,popularity,acousticness,danceability,energy,liveness,loudness,tempo,name,clusters
297,36,0.265,0.488,0.637,0.106,-7.63,88.872,The Long Way,28
298,0,0.0117,0.764,0.666,0.151,-6.944,99.99,Boss on the Boat,27
299,0,0.453,0.0999,1.0,0.874,-18.197,90.617,Gentle Rain Beside a Calm Lake for Meditation,94
300,0,0.671,0.182,0.146,0.238,-19.439,100.506,"Francesca da Rimini, Op. 32",52
301,0,0.0793,0.519,0.872,0.111,-3.212,179.965,Make Me Want To,14
302,59,0.18,0.896,0.847,0.0679,-4.005,104.996,Bang,70
303,30,8.47e-05,0.415,0.881,0.184,-3.593,132.015,To Live Is To Hide,82
304,1,0.014,0.716,0.805,0.291,-3.839,142.886,Mine,12
305,0,0.844,0.617,0.333,0.107,-12.981,150.092,Montreal Rock Band Somewhere,59
306,49,0.000197,0.588,0.825,0.0885,-5.882,129.968,State Of Grace,57
307,63,0.000139,0.578,0.892,0.215,-7.952,150.253,Banquet,43
308,54,0.63,0.434,0.576,0.164,-6.407,112.661,Here's to you (feat. Joan Baez),85
309,0,0.0011,0.654,0.6,0.0403,-6.174,130.166,Warp 1.9 (feat. Steve Aoki),83
310,0,0.674,0.724,0.623,0.11,-7.474,75.999,Crawdad Hole,93
311,74,0.264,0.624,0.842,0.181,-5.285,111.037,Like a Prayer,76
312,76,0.00104,0.922,0.581,0.105,-7.495,140.022,Look Alive (feat. Drake),58
313,53,0.0827,0.585,0.779,0.151,-5.083,118.015,Live And Die,18
314,64,0.000185,0.279,0.742,0.593,-6.46,189.868,Animals,69
315,0,0.934,0.669,0.2,0.138,-16.88,166.25,Sunset,59
316,43,0.27,0.625,0.834,0.495,-2.844,110.778,Valsen,0
317,27,0.399,0.699,0.744,0.361,-5.776,96.979,Smile,9
318,0,0.00424,0.746,0.745,0.0759,-7.364,115.04,Say My Name,27
319,73,0.0189,0.591,0.889,0.155,-3.839,143.067,The Show Goes On,0
320,0,0.00106,0.504,0.777,0.12,-7.916,100.006,Extreme Ways,13
321,51,0.022,0.383,0.748,0.114,-6.343,171.568,Next Girl,47
322,60,0.222,0.734,0.661,0.201,-6.705,134.93,Kings of Summer - Single Version,9
323,78,0.455,0.537,0.66,0.135,-7.174,148.096,Wagon Wheel,89
324,29,0.00081,0.516,0.919,0.163,-4.89,104.874,Your Body Is a Weapon,82
325,68,0.033,0.815,0.605,0.114,-9.118,102.642,Your Woman,16
326,44,5.08e-05,0.354,0.964,0.326,-1.822,113.079,Emit Remmus,64
327,57,0.768,0.569,0.508,0.145,-12.823,167.624,This Is Halloween,67
328,75,0.707,0.526,0.775,0.217,-6.05,80.106,I'm a Believer - 2006 Remaster,36
329,3,0.000951,0.362,0.941,0.134,-4.563,149.669,Come Clarity,14
330,0,0.191,0.637,0.431,0.108,-7.991,140.008,Sweet Annie - Greatest Hits Version,12
